Period,unknown,3G,2G,LTE
2023-03-23,1564.8155723959208,58669.83187843952,291.65849328693,1112118.5726201907
2023-03-24,1485.4584042979404,63449.88842563238,313.071737668477,1173520.8861009497
2023-03-25,1211.9674266623333,65280.19078832399,326.58458266966045,1202129.2312988173
2023-03-26,790.8081298386678,67313.35412422195,337.6659372635186,1224979.5705446694
2023-03-27,660.5932228090242,66176.02578078117,324.8107133526355,1102328.1858880538
2023-03-28,584.1285640047863,65913.95699967537,325.0454159844667,1130042.9578082822
2023-03-29,623.8944291109219,65002.44373196643,313.7924615330994,1138640.2495283447
2023-03-30,621.2104541948065,64879.521473364905,319.78946791868657,1103040.528047774
2023-03-31,555.8949958877638,64757.03255517408,322.0694861020893,1133048.2899296936
2023-04-01,524.4062616191804,71100.99054990988,348.2467672256753,1289601.6448314022
2023-04-02,459.6205942351371,74404.40806857403,380.5586575269699,1349452.367865881
2023-04-03,580.9107574727386,67603.25611142069,339.44390531722456,1198460.2395900432
2023-04-04,601.3639737712219,64646.83380546048,303.8507918920368,1142126.8452979904
2023-04-05,597.8965514944866,66099.55263775773,316.02110800985247,1172030.2000304405
2023-04-06,476.97781612351537,64140.45349725522,298.28847012203187,1041415.2012708504
2023-04-07,514.107531953603,64530.13012974989,304.7287029437721,1092267.924818145
2023-04-08,518.6505904104561,65204.41967537347,311.0059033995494,1138180.9664143901
2023-04-09,430.74779445305467,68661.31093276571,324.4165017083287,1203394.2650845554
2023-04-10,534.7064784066752,63692.34232057445,292.62731158640236,1097935.917417938
2023-04-11,569.1215192517266,63714.354168939404,296.167242012918,1115142.6616038382
2023-04-12,4552.855579177849,66599.36777707469,300.96382185351104,1165769.9051861186
2023-04-13,586.0659805582836,67272.35758849699,308.76563612371683,1176074.6032808349
2023-04-14,568.082234009169,66096.06214418169,309.72040394693613,1168534.019985646
2023-04-15,477.30856989044696,66567.5634844834,313.43894864898175,1202150.1051042974
2023-04-16,440.27494058944285,68980.22867448069,327.22979111317545,1243908.1737085804
2023-04-17,512.9088006317616,62764.44232970476,287.9166179932654,1112635.9671359323
2023-04-18,532.8315938049927,63226.933230371214,295.46640427503735,1121655.5961736664
2023-04-19,540.4681371571496,63383.619908529334,298.7547586746514,1127719.4835316576
2023-04-20,504.92019411642104,64916.70160829928,341.9728889800608,1161433.3074960578
2023-04-21,382.16609081160277,69323.5914709568,463.02098246570677,1152316.3944925647
